mtps,P_core_W,P_interface_W,P_total_W,source_file
2600,0.829338000000,0.226777000000,1.056115000000,ddr5.x8.2600
3200,0.829338000000,0.252920000000,1.082258000000,ddr5.x8.3200
4800,0.732616000000,0.392798000000,1.125414000000,ddr5.x8.4800
6400,0.732616000000,0.392798000000,1.125414000000,ddr5.x8.6400
